time,noaa,sg
2024-04-13T23:00:00+00:00,4.79,3.79
2024-04-14T00:00:00+00:00,5.26,3.36
2024-04-14T01:00:00+00:00,5.63,3.62
2024-04-14T02:00:00+00:00,5.99,3.87
2024-04-14T03:00:00+00:00,6.36,4.13
2024-04-14T04:00:00+00:00,6.5,4.15
2024-04-14T05:00:00+00:00,6.64,4.18
2024-04-14T06:00:00+00:00,6.78,4.2
2024-04-14T07:00:00+00:00,6.53,4.31
2024-04-14T08:00:00+00:00,6.27,4.41
2024-04-14T09:00:00+00:00,6.02,4.52
2024-04-14T10:00:00+00:00,5.51,4.36
2024-04-14T11:00:00+00:00,5.01,4.19
2024-04-14T12:00:00+00:00,4.5,4.03
2024-04-14T13:00:00+00:00,4.6,3.79
2024-04-14T14:00:00+00:00,4.71,3.55
2024-04-14T15:00:00+00:00,4.81,3.31
2024-04-14T16:00:00+00:00,4.25,3.24
2024-04-14T17:00:00+00:00,3.69,3.18
2024-04-14T18:00:00+00:00,3.13,3.11
2024-04-14T19:00:00+00:00,2.96,3.15
2024-04-14T20:00:00+00:00,2.78,3.19
2024-04-14T21:00:00+00:00,2.61,3.23
2024-04-14T22:00:00+00:00,2.94,3.14
2024-04-14T23:00:00+00:00,3.28,3.04
