time,meteo
2024-04-26T11:00:00+00:00,2.95
2024-04-26T12:00:00+00:00,2.42
2024-04-26T13:00:00+00:00,2.11
2024-04-26T14:00:00+00:00,1.89
2024-04-26T15:00:00+00:00,1.89
2024-04-26T16:00:00+00:00,2.02
2024-04-26T17:00:00+00:00,2.01
2024-04-26T18:00:00+00:00,2.01
2024-04-26T19:00:00+00:00,2.08
2024-04-26T20:00:00+00:00,2.27
2024-04-26T21:00:00+00:00,2.12
2024-04-26T22:00:00+00:00,1.7
2024-04-26T23:00:00+00:00,1.25
2024-04-27T00:00:00+00:00,2.0
2024-04-27T01:00:00+00:00,2.48
2024-04-27T02:00:00+00:00,2.48
2024-04-27T03:00:00+00:00,2.55
2024-04-27T04:00:00+00:00,2.98
2024-04-27T05:00:00+00:00,3.5
2024-04-27T06:00:00+00:00,3.71
2024-04-27T07:00:00+00:00,4.07
2024-04-27T08:00:00+00:00,4.12
2024-04-27T09:00:00+00:00,4.16
2024-04-27T10:00:00+00:00,4.16
2024-04-27T11:00:00+00:00,4.02
2024-04-27T12:00:00+00:00,3.76
2024-04-27T13:00:00+00:00,3.49
2024-04-27T14:00:00+00:00,3.55
2024-04-27T15:00:00+00:00,3.38
2024-04-27T16:00:00+00:00,3.45
2024-04-27T17:00:00+00:00,3.32
2024-04-27T18:00:00+00:00,3.26
2024-04-27T19:00:00+00:00,3.07
2024-04-27T20:00:00+00:00,2.88
2024-04-27T21:00:00+00:00,2.44
2024-04-27T22:00:00+00:00,2.12
2024-04-27T23:00:00+00:00,2.02
2024-04-28T00:00:00+00:00,1.43
2024-04-28T01:00:00+00:00,2.51
2024-04-28T02:00:00+00:00,2.64
2024-04-28T03:00:00+00:00,2.82
2024-04-28T04:00:00+00:00,2.95
2024-04-28T05:00:00+00:00,3.2
2024-04-28T06:00:00+00:00,3.86
2024-04-28T07:00:00+00:00,4.43
2024-04-28T08:00:00+00:00,4.81
2024-04-28T09:00:00+00:00,5.02
2024-04-28T10:00:00+00:00,4.79
2024-04-28T11:00:00+00:00,4.11
2024-04-28T12:00:00+00:00,3.61
2024-04-28T13:00:00+00:00,3.4
2024-04-28T14:00:00+00:00,3.13
2024-04-28T15:00:00+00:00,3.0
2024-04-28T16:00:00+00:00,3.01
2024-04-28T17:00:00+00:00,3.0
2024-04-28T18:00:00+00:00,2.7
2024-04-28T19:00:00+00:00,2.2
2024-04-28T20:00:00+00:00,2.1
2024-04-28T21:00:00+00:00,1.61
2024-04-28T22:00:00+00:00,1.08
2024-04-28T23:00:00+00:00,0.92
2024-04-29T00:00:00+00:00,1.0
2024-04-29T01:00:00+00:00,1.55
2024-04-29T02:00:00+00:00,1.52
2024-04-29T03:00:00+00:00,1.89
2024-04-29T04:00:00+00:00,2.36
2024-04-29T05:00:00+00:00,3.3
2024-04-29T06:00:00+00:00,3.61
2024-04-29T07:00:00+00:00,4.4
2024-04-29T08:00:00+00:00,4.83
2024-04-29T09:00:00+00:00,5.28
2024-04-29T10:00:00+00:00,5.24
2024-04-29T11:00:00+00:00,5.06
2024-04-29T12:00:00+00:00,4.57
2024-04-29T13:00:00+00:00,4.16
2024-04-29T14:00:00+00:00,3.1
2024-04-29T15:00:00+00:00,2.98
2024-04-29T16:00:00+00:00,2.62
2024-04-29T17:00:00+00:00,2.41
2024-04-29T18:00:00+00:00,2.43
2024-04-29T19:00:00+00:00,2.04
2024-04-29T20:00:00+00:00,1.73
2024-04-29T21:00:00+00:00,1.46
2024-04-29T22:00:00+00:00,1.39
2024-04-29T23:00:00+00:00,1.28
2024-04-30T00:00:00+00:00,0.58
2024-04-30T01:00:00+00:00,1.12
2024-04-30T02:00:00+00:00,1.58
2024-04-30T03:00:00+00:00,2.4
2024-04-30T04:00:00+00:00,3.18
2024-04-30T05:00:00+00:00,3.77
2024-04-30T06:00:00+00:00,4.1
2024-04-30T07:00:00+00:00,4.2
2024-04-30T08:00:00+00:00,4.0
2024-04-30T09:00:00+00:00,3.81
2024-04-30T10:00:00+00:00,3.6
2024-04-30T11:00:00+00:00,3.6
2024-04-30T12:00:00+00:00,3.41
2024-04-30T13:00:00+00:00,3.41
2024-04-30T14:00:00+00:00,3.3
2024-04-30T15:00:00+00:00,3.1
2024-04-30T16:00:00+00:00,2.92
2024-04-30T17:00:00+00:00,2.93
2024-04-30T18:00:00+00:00,2.83
2024-04-30T19:00:00+00:00,2.63
2024-04-30T20:00:00+00:00,2.24
2024-04-30T21:00:00+00:00,1.58
2024-04-30T22:00:00+00:00,0.98
2024-04-30T23:00:00+00:00,0.5
